Report_Week,INITIAL_S_F,INITIAL_S_A,INITIAL_S_A_4-Week,Continued_Claims_N_S_A,Continued_Claims_S_F,Continued Claims_S_A,Covered_Employment
01/02/2010,"651,215",142.9,"456,000","475,250","6,014,881",123.5,3.7
01/09/2010,"825,891",176.2,"469,000","468,000","5,791,336",118.7,3.7
01/16/2010,"659,173",130.0,"507,000","475,000","5,602,811",116.5,3.7
01/23/2010,"507,651",107.7,"471,000","475,750","5,683,672",117.4,3.7
01/30/2010,"538,617",108.5,"496,000","485,750","5,683,482",118.5,3.7
02/06/2010,"512,463",110.0,"466,000","485,000","5,597,271",115.7,3.7
02/13/2010,"482,078",98.5,"489,000","480,500","5,546,388",115.2,3.7
02/20/2010,"458,160",91.6,"500,000","487,750","5,596,737",117.4,3.7
02/27/2010,"474,662",97.3,"488,000","485,750","5,544,103",116.6,3.7
03/06/2010,"462,679",98.0,"472,000","487,250","5,405,031",113.4,3.7
03/13/2010,"439,061",91.9,"478,000","484,500","5,357,581",112.8,3.7
03/20/2010,"413,067",87.6,"472,000","477,500","5,207,496",109.8,3.6
03/27/2010,"412,710",89.9,"459,000","470,250","5,055,002",108.3,3.6
04/03/2010,"421,130",87.9,"479,000","472,000","4,987,473",104.9,3.7
04/10/2010,"514,136",107.4,"479,000","472,250","4,931,238",103.9,3.7
04/17/2010,"436,814",93.2,"469,000","471,500","4,796,318",101.6,3.7
04/24/2010,"429,196",95.6,"449,000","469,000","4,671,227",99.6,3.7
05/01/2010,"399,350",88.6,"451,000","462,000","4,549,602",96.9,3.7
05/08/2010,"414,327",91.8,"451,000","455,000","4,471,786",95.0,3.7
05/15/2010,"414,572",87.4,"474,000","456,250","4,411,435",94.1,3.7
05/22/2010,"410,778",88.8,"463,000","459,750","4,380,562",92.6,3.7
05/29/2010,"418,873",91.5,"458,000","461,500","4,202,202",92.3,3.5
06/05/2010,"398,864",86.9,"459,000","463,500","4,319,021",93.4,3.6
06/12/2010,"448,305",96.0,"467,000","461,750","4,306,402",93.5,3.6
06/19/2010,"427,080",94.4,"452,000","459,000","4,328,074",93.7,3.6
06/26/2010,"444,712",95.9,"464,000","460,500","4,309,375",96.1,3.5
07/03/2010,"470,366",103.5,"454,000","459,250","4,384,591",94.9,3.6
07/10/2010,"515,991",117.5,"439,000","452,250","4,562,782",101.8,3.5
07/17/2010,"502,065",108.7,"462,000","454,750","4,554,316",100.2,3.6
07/24/2010,"413,679",89.0,"465,000","455,000","4,438,886",98.0,3.6
07/31/2010,"402,140",84.4,"476,000","460,500","4,333,445",97.0,3.5
08/07/2010,"425,471",88.1,"483,000","471,500","4,281,074",95.6,3.5
08/14/2010,"405,484",83.4,"486,000","477,500","4,219,639",95.2,3.5
08/21/2010,"384,955",83.0,"464,000","477,250","4,125,414",93.2,3.5
08/28/2010,"383,135",82.1,"467,000","475,000","4,138,965",91.8,3.6
09/04/2010,"381,863",84.4,"452,000","467,250","3,933,895",87.4,3.6
09/11/2010,"341,791",76.9,"444,000","456,750","3,930,908",87.6,3.5
09/18/2010,"382,341",83.3,"459,000","455,500","3,810,921",85.6,3.5
09/25/2010,"372,551",81.2,"459,000","453,500","3,779,910",85.3,3.5
10/02/2010,"373,681",83.8,"446,000","452,000","3,705,947",84.1,3.5
10/09/2010,"462,667",100.7,"459,000","455,750","3,715,967",84.4,3.5
10/16/2010,"394,016",88.8,"444,000","452,000","3,769,438",86.7,3.5
10/23/2010,"408,489",94.6,"432,000","445,250","3,759,365",86.8,3.4
10/30/2010,"421,097",92.9,"453,000","447,000","3,783,097",87.4,3.4
11/06/2010,"452,657",104.2,"434,000","440,750","3,735,938",87.5,3.4
11/13/2010,"409,548",94.7,"432,000","437,750","3,871,043",92.7,3.3
11/20/2010,"464,817",114.3,"407,000","431,500","3,665,787",86.9,3.4
11/27/2010,"412,922",95.6,"432,000","426,250","4,216,488",102.4,3.3
12/04/2010,"585,711",136.9,"428,000","424,750","4,062,531",98.2,3.3
12/11/2010,"491,776",115.6,"425,000","423,000","4,179,504",102.9,3.2
12/18/2010,"495,548",116.9,"424,000","427,250","4,116,684",100.1,3.3
12/25/2010,"525,710",130.1,"404,000","420,250","4,415,512",108.0,3.2
01/01/2011,"578,904",140.2,"413,000","416,500","4,790,155",122.9,3.1
01/08/2011,"773,499",178.3,"434,000","418,750","4,652,805",119.1,3.1
01/15/2011,"549,688",130.5,"421,000","418,000","4,614,149",116.1,3.2
01/22/2011,"485,950",109.0,"446,000","428,500","4,632,950",118.0,3.1
01/29/2011,"464,775",110.6,"420,000","430,250","4,605,543",118.5,3.1
02/05/2011,"440,706",109.6,"402,000","422,250","4,575,640",116.5,3.1
02/12/2011,"424,400",99.9,"425,000","423,250","4,587,740",119.5,3.1
02/19/2011,"380,985",96.7,"394,000","410,250","4,344,862",113.7,3.0
02/26/2011,"353,797",91.9,"385,000","401,500","4,460,146",117.1,3.0
03/05/2011,"407,299",98.3,"414,000","404,500","4,296,805",113.9,3.0
03/12/2011,"371,721",92.1,"404,000","399,250","4,277,092",113.4,3.0
03/19/2011,"354,457",87.1,"407,000","402,500","4,131,066",110.1,3.0
03/26/2011,"357,457",89.5,"399,000","406,000","4,085,667",108.5,3.0
04/02/2011,"353,817",89.6,"395,000","401,250","3,943,591",105.0,3.0
04/09/2011,"448,029",107.7,"416,000","404,250","3,893,218",103.8,3.0
04/16/2011,"381,834",94.9,"402,000","403,000","3,783,787",101.8,3.0
04/23/2011,"387,867",91.9,"422,000","408,750","3,769,810",99.3,3.0
04/30/2011,"415,974",88.9,"468,000","427,000","3,723,271",97.1,3.1
05/07/2011,"397,737",91.4,"435,000","431,750","3,586,266",94.7,3.0
05/14/2011,"361,573",87.4,"414,000","434,750","3,549,972",93.9,3.0
05/21/2011,"376,632",89.1,"423,000","435,000","3,510,507",92.4,3.0
05/28/2011,"381,497",91.3,"418,000","422,500","3,426,345",91.9,3.0
06/04/2011,"366,816",86.8,"423,000","419,500","3,491,359",93.1,3.0
06/11/2011,"400,608",97.0,"413,000","419,250","3,491,533",93.2,3.0
06/18/2011,"394,286",94.7,"416,000","417,500","3,511,416",93.6,3.0
06/25/2011,"406,633",96.7,"421,000","418,250","3,555,831",95.6,3.0
07/02/2011,"425,640",101.9,"418,000","417,000","3,534,925",94.7,3.0
07/09/2011,"473,963",116.1,"408,000","415,750","3,783,316",101.6,3.0
07/16/2011,"470,086",112.0,"420,000","416,750","3,752,532",100.5,3.0
07/23/2011,"369,207",89.9,"411,000","414,250","3,680,729",98.4,3.0
07/30/2011,"341,103",84.0,"406,000","411,250","3,580,433",97.4,2.9
08/06/2011,"354,408",87.5,"405,000","410,500","3,553,649",95.8,2.9
08/13/2011,"346,014",84.5,"409,000","407,750","3,557,586",95.7,3.0
08/20/2011,"344,870",83.2,"415,000","408,750","3,473,182",93.5,3.0
08/27/2011,"336,761",82.4,"409,000","409,500","3,436,188",92.3,3.0
09/03/2011,"348,582",84.2,"414,000","411,750","3,293,105",87.6,3.0
09/10/2011,"328,868",76.6,"429,000","416,750","3,306,720",88.0,3.0
09/17/2011,"353,820",83.8,"422,000","418,500","3,207,559",85.6,3.0
09/24/2011,"328,073",80.8,"406,000","417,750","3,165,909",85.4,2.9
10/01/2011,"332,394",82.1,"405,000","415,500","3,113,245",84.2,2.9
10/08/2011,"405,906",99.0,"410,000","410,750","3,133,644",84.0,3.0
10/15/2011,"357,562",90.5,"395,000","404,000","3,196,554",86.3,2.9
10/22/2011,"377,156",93.7,"403,000","403,250","3,199,527",86.5,2.9
10/29/2011,"369,647",92.7,"399,000","401,750","3,210,417",87.3,2.9
11/05/2011,"402,532",102.6,"392,000","397,250","3,177,477",88.2,2.9
11/12/2011,"363,016",94.7,"383,000","394,250","3,374,259",91.8,2.9
11/19/2011,"440,157",114.3,"385,000","389,750","3,167,053",84.7,3.0
11/26/2011,"372,640",93.8,"397,000","389,250","3,696,154",102.9,2.8
12/03/2011,"528,793",136.6,"387,000","388,000","3,540,663",98.5,2.8
12/10/2011,"435,863",118.6,"368,000","384,250","3,628,343",102.4,2.8
12/17/2011,"421,103",114.3,"368,000","380,000","3,613,414",100.7,2.8
12/24/2011,"497,689",128.8,"386,000","377,250","3,779,025",105.7,2.8
12/31/2011,"540,057",143.5,"376,000","374,500","4,161,063",116.7,2.8
01/07/2012,"646,219",165.1,"391,000","398,750","4,109,127",120.1,2.7
01/14/2012,"525,422",143.2,"367,000","384,500","4,069,651",115.9,2.8
01/21/2012,"416,880",109.4,"381,000","378,750","4,058,236",118.7,2.7
01/28/2012,"422,287",113.6,"372,000","377,750","4,097,013",118.6,2.7
02/04/2012,"401,365",109.1,"368,000","372,000","3,984,889",117.5,2.7
02/11/2012,"365,014",101.2,"361,000","370,500","4,010,489",119.3,2.7
02/18/2012,"346,659",96.6,"359,000","365,000","3,882,527",114.8,2.7
02/25/2012,"334,242",91.5,"365,000","363,250","3,988,890",117.6,2.7
03/03/2012,"368,433",98.2,"375,000","365,000","3,862,329",114.7,2.7
03/10/2012,"340,102",92.1,"369,000","367,000","3,815,580",113.8,2.6
03/17/2012,"319,498",86.9,"368,000","369,250","3,699,473",110.7,2.6
03/24/2012,"323,373",89.1,"363,000","368,750","3,636,712",109.0,2.6
03/31/2012,"315,800",88.3,"358,000","364,500","3,470,104",105.6,2.6
04/07/2012,"390,064",100.7,"387,000","369,000","3,448,040",103.7,2.6
04/14/2012,"370,482",97.3,"381,000","372,250","3,425,138",102.1,2.6
04/21/2012,"370,632",95.8,"387,000","378,250","3,292,783",99.3,2.6
04/28/2012,"333,476",89.6,"372,000","381,750","3,210,670",97.4,2.6
05/05/2012,"341,080",91.4,"373,000","378,250","3,150,177",94.7,2.6
05/12/2012,"325,094",88.2,"369,000","375,250","3,124,324",93.7,2.6
05/19/2012,"330,427",89.1,"371,000","371,250","3,060,148",92.7,2.6
05/26/2012,"346,260",90.9,"381,000","373,500","3,062,538",91.4,2.6
06/02/2012,"324,385",86.0,"377,000","374,500","3,091,216",92.9,2.6
06/09/2012,"376,610",98.4,"383,000","378,000","3,101,927",92.8,2.6
06/16/2012,"364,548",94.9,"384,000","381,250","3,113,846",93.7,2.6
06/23/2012,"370,521",97.4,"380,000","381,000","3,145,031",94.6,2.6
06/30/2012,"369,826",99.5,"372,000","379,750","3,112,199",94.2,2.6
07/07/2012,"442,192",123.0,"360,000","374,000","3,360,067",101.4,2.6
07/14/2012,"455,260",116.6,"390,000","375,500","3,336,728",100.9,2.6
07/21/2012,"340,780",92.6,"368,000","372,500","3,246,888",98.7,2.6
07/28/2012,"312,931",84.1,"372,000","372,500","3,242,883",97.9,2.6
08/04/2012,"320,219",86.2,"371,000","375,250","3,180,011",96.3,2.6
08/11/2012,"317,680",86.0,"369,000","370,000","3,167,174",96.1,2.6
08/18/2012,"311,857",82.9,"376,000","372,000","3,117,558",94.3,2.6
08/25/2012,"312,542",83.0,"377,000","373,250","3,085,324",92.9,2.6
09/01/2012,"309,537",83.4,"371,000","373,250","2,930,825",88.1,2.6
09/08/2012,"299,729",76.2,"393,000","379,250","2,927,923",88.4,2.6
09/15/2012,"330,454",84.3,"392,000","383,250","2,841,521",85.7,2.6
09/22/2012,"303,685",80.5,"377,000","383,250","2,822,093",85.3,2.6
09/29/2012,"301,046",80.0,"376,000","384,500","2,786,146",84.2,2.6
10/06/2012,"329,925",94.2,"350,000","373,750","2,754,663",83.6,2.6
10/13/2012,"362,730",94.0,"386,000","372,250","2,816,677",85.3,2.6
10/20/2012,"345,227",92.3,"374,000","371,500","2,838,463",86.4,2.6
10/27/2012,"339,924",93.5,"364,000","368,500","2,784,503",86.4,2.5
11/03/2012,"361,823",99.0,"365,000","372,250","2,964,164",88.0,2.6
11/10/2012,"478,551",107.4,"446,000","387,250","2,946,437",87.6,2.6
11/17/2012,"403,636",99.3,"406,000","395,250","2,836,478",85.3,2.6
11/24/2012,"358,865",92.4,"388,000","401,250","3,316,536",102.1,2.5
12/01/2012,"500,163",133.3,"375,000","403,750","3,175,601",99.4,2.5
12/08/2012,"429,191",126.4,"340,000","377,250","3,245,480",100.5,2.5
12/15/2012,"401,431",112.7,"356,000","364,750","3,255,119",102.4,2.5
12/22/2012,"457,584",126.3,"362,000","358,250","3,285,394",102.0,2.5
12/29/2012,"490,126",135.5,"362,000","355,000","3,730,872",119.3,2.4
01/05/2013,"557,424",153.4,"363,000","369,750","3,868,120",122.9,2.4
01/12/2013,"558,047",162.4,"344,000","363,750","3,707,375",119.3,2.4
01/19/2013,"437,360",129.1,"339,000","352,000","3,671,018",117.0,2.4
01/26/2013,"369,567",100.9,"366,000","353,000","3,736,830",119.1,2.4
02/02/2013,"388,708",107.8,"361,000","352,500","3,661,840",119.1,2.4
02/09/2013,"361,759",104.2,"347,000","353,250","3,663,619",118.9,2.4
02/16/2013,"351,087",96.9,"362,000","359,000","3,531,404",116.3,2.4
02/23/2013,"310,512",90.9,"342,000","353,000","3,606,019",118.5,2.4
03/02/2013,"335,794",98.8,"340,000","347,750","3,495,559",116.1,2.3
03/09/2013,"317,661",92.7,"343,000","346,750","3,453,312",114.2,2.4
03/16/2013,"301,471",88.0,"343,000","342,000","3,394,036",112.1,2.4
03/23/2013,"316,133",88.2,"358,000","346,000","3,344,342",109.8,2.4
03/30/2013,"317,494",84.6,"375,000","354,750","3,286,211",106.7,2.4
04/06/2013,"356,935",99.5,"359,000","358,750","3,195,675",103.9,2.4
04/13/2013,"359,415",101.1,"356,000","362,000","3,096,325",102.4,2.3
04/20/2013,"326,264",95.2,"343,000","358,250","3,020,992",99.8,2.3
04/27/2013,"301,622",91.2,"331,000","347,250","2,963,249",97.5,2.4
05/04/2013,"301,602",89.9,"335,000","341,250","2,883,832",94.8,2.4
05/11/2013,"320,253",89.0,"360,000","342,250","2,769,495",93.1,2.3
05/18/2013,"303,357",88.4,"343,000","342,250","2,799,681",92.7,2.3
05/25/2013,"319,508",90.4,"353,000","347,750","2,734,582",90.8,2.3
06/01/2013,"294,608",85.1,"346,000","350,500","2,771,143",92.4,2.3
06/08/2013,"332,964",98.7,"337,000","344,750","2,772,541",92.3,2.3
06/15/2013,"336,970",95.4,"353,000","347,250","2,801,508",93.5,2.3
06/22/2013,"336,901",97.1,"347,000","345,750","2,778,190",93.8,2.3
06/29/2013,"335,424",98.6,"340,000","344,250","2,807,991",93.5,2.3
07/06/2013,"383,811",109.3,"351,000","347,750","3,146,960",101.1,2.4
07/13/2013,"410,974",119.4,"344,000","345,500","3,047,517",101.2,2.3
07/20/2013,"340,457",95.8,"355,000","347,500","2,920,771",99.1,2.3
07/27/2013,"281,692",84.3,"334,000","346,000","2,952,831",98.1,2.3
08/03/2013,"288,861",85.1,"339,000","343,000","2,853,207",96.9,2.3
08/10/2013,"282,756",86.6,"327,000","338,750","2,873,345",96.2,2.3
08/17/2013,"281,164",82.7,"340,000","335,000","2,819,994",95.0,2.3
08/24/2013,"279,803",83.2,"336,000","335,500","2,737,229",93.3,2.3
08/31/2013,"269,359",83.0,"325,000","332,000","2,512,460",88.5,2.2
09/07/2013,"229,648",76.5,"300,000","325,250","2,499,855",88.6,2.2
09/14/2013,"272,946",84.5,"323,000","321,000","2,456,548",85.8,2.2
09/21/2013,"255,087",81.3,"314,000","315,500","2,513,759",85.1,2.3
09/28/2013,"252,196",79.1,"319,000","314,000","2,476,262",84.1,2.3
10/05/2013,"335,937",91.2,"368,000","331,000","2,437,325",83.2,2.2
10/12/2013,"360,957",98.2,"368,000","342,250","2,465,939",84.3,2.2
10/19/2013,"312,037",88.8,"351,000","351,500","2,525,254",86.1,2.2
10/26/2013,"325,326",93.7,"347,000","358,500","2,511,754",85.8,2.2
11/02/2013,"331,867",97.0,"342,000","352,000","2,510,618",87.4,2.2
11/09/2013,"364,167",107.2,"340,000","345,000","2,556,519",87.4,2.2
11/16/2013,"327,053",98.7,"331,000","340,000","2,689,171",94.8,2.2
11/23/2013,"369,197",116.9,"316,000","332,250","2,506,700",89.1,2.2
11/30/2013,"321,896",103.1,"312,000","324,750","2,970,677",105.8,2.2
12/07/2013,"463,413",130.9,"354,000","328,250","2,880,807",99.6,2.2
12/14/2013,"414,613",113.8,"364,000","336,500","3,004,483",103.5,2.2
12/21/2013,"418,272",125.2,"334,000","341,000","2,854,624",100.8,2.2
12/28/2013,"452,664",136.2,"332,000","346,000","3,298,387",117.5,2.2
01/04/2014,"488,537",151.6,"322,000","338,000","3,611,093",124.4,2.2
01/11/2014,"534,966",168.4,"318,000","326,500","3,487,905",120.0,2.2
01/18/2014,"416,116",127.2,"327,000","324,750","3,373,217",118.5,2.2
01/25/2014,"357,806",105.1,"340,000","326,750","3,422,557",120.1,2.2
02/01/2014,"357,742",108.2,"331,000","329,000","3,440,027",120.6,2.2
02/08/2014,"360,338",107.0,"337,000","333,750","3,411,217",119.3,2.2
02/15/2014,"322,761",97.3,"332,000","335,000","3,367,239",117.7,2.2
02/22/2014,"312,665",91.7,"341,000","335,250","3,375,731",119.6,2.2
03/01/2014,"317,832",99.6,"319,000","332,250","3,277,983",117.6,2.1
03/08/2014,"302,311",93.8,"322,000","328,500","3,233,107",114.8,2.2
03/15/2014,"285,970",89.2,"321,000","325,750","3,132,104",113.3,2.1
03/22/2014,"274,072",87.5,"313,000","318,750","3,090,665",110.4,2.1
03/29/2014,"294,862",89.3,"330,000","321,500","2,942,180",107.8,2.1
04/05/2014,"299,162",96.3,"311,000","318,750","2,853,279",104.5,2.1
04/12/2014,"318,793",103.5,"308,000","315,500","2,757,378",102.9,2.0
04/19/2014,"299,182",91.4,"327,000","319,000","2,766,506",100.0,2.1
04/26/2014,"318,127",92.3,"345,000","322,750","2,641,583",97.6,2.1
05/03/2014,"288,748",88.9,"325,000","326,250","2,559,236",94.7,2.1
05/10/2014,"270,738",89.5,"303,000","325,000","2,494,495",92.7,2.0
05/17/2014,"287,398",88.8,"324,000","324,250","2,455,022",92.4,2.0
05/24/2014,"275,412",90.3,"305,000","314,250","2,394,378",90.5,2.0
05/31/2014,"264,133",84.7,"312,000","311,000","2,424,134",91.8,2.0
06/07/2014,"313,371",99.0,"317,000","314,500","2,387,182",91.9,2.0
06/14/2014,"301,195",95.9,"314,000","312,000","2,413,778",93.0,2.0
06/21/2014,"305,029",96.9,"315,000","314,500","2,412,611",93.4,2.0
06/28/2014,"305,791",99.2,"308,000","313,500","2,395,821",92.9,2.0
07/05/2014,"322,753",106.7,"302,000","309,750","2,558,065",100.7,1.9
07/12/2014,"370,559",120.3,"308,000","308,250","2,563,164",101.4,1.9
07/19/2014,"287,049",97.6,"294,000","303,000","2,524,006",99.3,1.9
07/26/2014,"257,625",84.9,"303,000","301,750","2,481,360",98.3,1.9
08/02/2014,"247,877",83.9,"295,000","300,000","2,462,156",97.3,1.9
08/09/2014,"269,468",87.1,"309,000","300,250","2,412,394",96.2,1.9
08/16/2014,"249,463",82.3,"303,000","302,500","2,403,823",95.5,1.9
08/23/2014,"249,006",83.1,"300,000","301,750","2,319,238",93.4,1.9
08/30/2014,"249,780",82.5,"303,000","303,750","2,212,896",89.0,1.9
09/06/2014,"234,755",76.5,"307,000","303,250","2,167,651",88.4,1.9
09/13/2014,"242,318",84.0,"288,000","299,500","2,115,326",85.8,1.9
09/20/2014,"239,780",81.4,"295,000","298,250","2,070,228",84.6,1.9
09/27/2014,"227,571",78.6,"290,000","295,000","2,031,751",83.7,1.8
10/04/2014,"257,545",87.9,"293,000","291,500","2,018,858",82.7,1.8
10/11/2014,"273,756",97.5,"281,000","289,750","2,006,710",83.3,1.8
10/18/2014,"256,166",88.3,"290,000","288,500","2,081,161",85.4,1.8
10/25/2014,"271,331",93.3,"291,000","288,750","2,045,437",85.0,1.8
11/01/2014,"266,921",95.3,"280,000","285,500","2,116,640",86.9,1.8
11/08/2014,"309,338",106.4,"291,000","288,000","2,067,337",86.7,1.8
11/15/2014,"286,115",97.6,"293,000","288,750","2,193,628",93.3,1.8
11/22/2014,"357,202",117.7,"303,000","291,750","2,102,005",88.0,1.8
11/29/2014,"294,389",101.1,"291,000","294,500","2,515,910",101.3,1.9
12/06/2014,"389,284",133.6,"291,000","294,500","2,354,533",98.9,1.8
12/13/2014,"327,827",114.5,"286,000","292,750","2,478,752",104.2,1.8
12/20/2014,"340,827",123.5,"276,000","286,000","2,352,296",100.6,1.8
12/27/2014,"389,757",136.6,"285,000","284,500","2,795,271",115.4,1.8
01/03/2015,"439,342",149.6,"294,000","285,250","2,990,368",125.6,1.8
01/10/2015,"529,685",174.1,"304,000","289,750","2,911,674",121.3,1.8
01/17/2015,"383,538",128.7,"298,000","295,250","2,784,735",119.2,1.8
01/24/2015,"281,885",108.2,"261,000","289,250","2,827,617",121.1,1.8
01/31/2015,"306,643",109.0,"281,000","286,000","2,795,975",121.7,1.7
02/07/2015,"324,158",108.8,"298,000","284,500","2,809,938",119.9,1.8
02/14/2015,"277,904",97.4,"285,000","281,250","2,752,771",118.7,1.7
02/21/2015,"280,639",91.9,"305,000","292,250","2,835,373",121.1,1.8
02/28/2015,"315,566",99.7,"317,000","301,250","2,804,577",119.0,1.8
03/07/2015,"277,925",95.0,"293,000","300,000","2,729,749",115.6,1.8
03/14/2015,"260,242",89.8,"290,000","301,250","2,705,148",114.6,1.8
03/21/2015,"248,032",87.2,"284,000","296,000","2,564,097",111.2,1.7
03/28/2015,"239,748",89.1,"269,000","284,000","2,476,255",108.7,1.7
04/04/2015,"253,533",89.8,"282,000","281,250","2,381,913",104.8,1.7
04/11/2015,"308,173",103.3,"298,000","283,250","2,389,911",103.0,1.7
04/18/2015,"279,797",95.0,"295,000","286,000","2,281,070",100.1,1.7
04/25/2015,"250,780",93.2,"269,000","286,000","2,199,763",97.6,1.7
05/02/2015,"236,421",88.5,"267,000","282,250","2,138,615",94.6,1.7
05/09/2015,"242,882",89.7,"271,000","275,500","2,079,285",92.3,1.7
05/16/2015,"243,612",88.4,"276,000","270,750","2,079,191",92.1,1.7
05/23/2015,"253,454",90.2,"281,000","273,750","2,018,773",90.3,1.7
05/30/2015,"230,676",84.0,"275,000","275,750","2,096,986",91.4,1.7
06/06/2015,"275,619",99.1,"278,000","277,500","2,056,174",91.4,1.7
